continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,people_fully_vaccinated_per_hundred
Asia,Singapore,120454,142,20427.413,24.081,77.95
Asia,China,96451,4636,66.784,3.21,72.56
North America,Canada,1663716,28239,43703.893,741.806,71.88
Europe,Italy,4695291,131228,77778.494,2173.82,68.87
Europe,Norway,193054,871,35321.461,159.36,67.45
Europe,France,7147186,117895,105783.545,1744.932,66.5
Europe,Sweden,1157822,14905,113957.075,1467.005,66.15
Europe,United Kingdom,8119442,137945,119040.984,2022.443,66.13
Europe,Germany,4305634,94182,51318.353,1122.544,64.64
Asia,Malaysia,2323478,27191,70889.193,829.596,64.39
Asia,Japan,1710426,17918,13569.339,142.149,63.43
Europe,Greece,673317,15069,64924.639,1453.029,60.07
Asia,South Korea,329925,2560,6430.637,49.897,59.1
North America,United States,44290052,712693,133037.088,2140.765,55.58
Oceania,Fiji,51426,653,56956.537,723.226,51.22
Oceania,Australia,125081,1421,4850.316,55.103,49.32
Oceania,New Zealand,4564,28,938.971,5.761,45.68
North America,Mexico,3714392,281610,28514.73,2161.87,36.61
Asia,Thailand,1689437,17534,24151.774,250.662,32.11
Europe,Russia,7602386,210673,52102.533,1443.836,30.76