iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,people_fully_vaccinated_per_hundred
GIB,Europe,Gibraltar,,,,,117.79
PRT,Europe,Portugal,1074109,18027,105637.012,1772.928,85.85
ARE,Asia,United Arab Emirates,737509,2111,73816.722,211.288,84.14
CYM,North America,Cayman Islands,,,,,83.51
MLT,Europe,Malta,37307,459,72502.157,892.017,81.71
ISL,Europe,Iceland,12147,33,35376.864,96.109,80.73
ESP,Europe,Spain,4973619,86778,106398.471,1856.404,78.73
SGP,Asia,Singapore,120454,142,20427.413,24.081,77.95
DNK,Europe,Denmark,364626,2671,62722.7,459.463,75.41
IMN,Europe,Isle of Man,,,,,74.94
FRO,Europe,Faeroe Islands,,,,,74.84
URY,South America,Uruguay,389817,6062,111850.789,1739.379,74.48
IRL,Europe,Ireland,399833,5280,80240.96,1059.623,74.2
CHL,South America,Chile,1660372,37542,86422.065,1954.054,73.95
JEY,Europe,Jersey,,,,,73.36
BEL,Europe,Belgium,1261102,25675,108413.496,2207.21,72.65
CHN,Asia,China,96451,4636,66.784,3.21,72.56
CAN,North America,Canada,1663716,28239,43703.893,741.806,71.88
SMR,Europe,San Marino,5466,91,160717.436,2675.684,71.86
ABW,North America,Aruba,,,,,70.52
BMU,North America,Bermuda,,,,,69.49
ITA,Europe,Italy,4695291,131228,77778.494,2173.82,68.87
NLD,Europe,Netherlands,2057891,18627,119832.279,1084.662,67.58
NOR,Europe,Norway,193054,871,35321.461,159.36,67.45
FRA,Europe,France,7147186,117895,105783.545,1744.932,66.5
SWE,Europe,Sweden,1157822,14905,113957.075,1467.005,66.15
GBR,Europe,United Kingdom,8119442,137945,119040.984,2022.443,66.13